Sample	QualiMap_mqc_generalstats_qualimap_avg_gc	QualiMap_mqc_generalstats_qualimap_median_insert_size	QualiMap_mqc_generalstats_qualimap_mqc_1_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_5_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_10_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_30_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_50_x_pc	QualiMap_mqc_generalstats_qualimap_median_coverage	QualiMap_mqc_generalstats_qualimap_mean_coverage	QualiMap_mqc_generalstats_qualimap_general_error_rate	QualiMap_mqc_generalstats_qualimap_percentage_aligned	QualiMap_mqc_generalstats_qualimap_mapped_reads	QualiMap_mqc_generalstats_qualimap_total_reads
COV10C_sort_qm									5.9484	0.36	88.68247131352976	124.56134	140.457678
COV10Cqm_results	44.72256936353062	273	36.45091532921392	21.591099001512553	14.263258784089487	4.306319458862897	1.9072593669415134	0					
COV11E_sort_qm									6.2406	0.45999999999999996	86.11245227224143	130.82968599999998	151.928882
COV11Eqm_results	45.900390786343266	275	34.03243222570415	21.15299837785171	14.119073128749209	4.5422987907578385	2.0822965427169615	0					
COV12E_sort_qm									6.7307	0.4	87.4129520697481	141.070085	161.383504
COV12Eqm_results	46.08082904915358	270	32.77117729298943	22.561064706394355	15.620838248884391	5.151390289842171	2.3068033852856145	0					
COV13E_sort_qm									5.0428	0.42	87.40564855581351	105.54938999999999	120.758088
COV13Eqm_results	48.77389138351195	275	22.54534449189421	16.38074696029365	11.08813916817233	3.4351760629218164	1.5999322771189675	0					
COV14E_sort_qm									5.1815	0.53	88.04969818084882	108.444206	123.16249599999999
COV14Eqm_results	48.03598670628678	277	27.791717347806937	18.52303817011282	12.076995852364902	3.6303178033619417	1.6319969979585518	0					
COV15E_sort_qm									0.2346	0.47000000000000003	92.98433018161349	4.92253	5.293934999999999
COV15Eqm_results	43.86475070997096	265	1.5845581001333635	0.9393533343187827	0.5978618166503724	0.16789421339014923	0.07406816391125007	0					
COV16E_sort_qm									5.5595	0.44999999999999996	86.8753381078856	116.502353	134.102906
COV16Eqm_results	45.30369882887697	263	31.155964766561	18.275477600659986	11.90305985669158	3.6743440918579053	1.7442890425086155	0					
COV17E_sort_qm									5.9333	0.49	87.51853691943937	124.27785399999999	142.00175
COV17Eqm_results	50.77410207949694	274	24.885855081266094	17.78137089990416	12.139283406960324	3.8786934392066765	1.7604642352296491	0					
COV19E_sort_qm									4.7713	0.44999999999999996	73.13305432050724	100.207774	137.02118
COV19Eqm_results	46.725833790662534	258	28.82877846604858	16.604180403281877	10.391211497869046	2.917284231246256	1.3332224593250899	0					
COV1C_sort_qm									2.9669	0.38	45.452683807540886	62.205763999999995	136.858286
COV1Cqm_results	43.81323811541868	442	31.802160488606383	14.353402567119737	7.5273214614118595	1.6057250291596834	0.686400809405068	0					
COV20E_sort_qm									5.7243	0.33999999999999997	88.65909711660188	119.94746699999999	135.290648
COV20Eqm_results	44.89463211819484	262	36.02220734485107	21.038670335436358	13.704523362162853	4.2809005702183045	1.9954430513147265	0					
COV22C_sort_qm									6.0119	0.36	88.27057148543219	125.912847	142.644196
COV22Cqm_results	44.38788374137849	276	35.82636271871695	20.88570565028897	13.662494127475197	4.354699429880498	2.0659095636168607	0					
COV2C_sort_qm									3.3176	0.38999999999999996	45.508873731906455	69.518469	152.758052
COV2Cqm_results	43.72828177234776	439	29.590706686653203	14.636803698666581	8.357236895033708	2.0787221262844326	0.9011590947908836	0					
COV3C_sort_qm									5.4889	0.33	88.92461221269178	115.024242	129.350288
COV3Cqm_results	43.71505178210244	235	35.69028195038523	20.273001624772363	12.815711073232865	3.9082148949873665	1.8691062528510523	0					
COV4C_sort_qm									3.7342	0.38	46.110407506966766	78.150724	169.486084
COV4Cqm_results	42.93674121258099	439	33.39847064763489	16.560637739664863	9.329536195817544	2.316914147861673	1.0427653318991057	0					
COV5C_sort_qm									5.661	0.37	88.93003710844944	118.609971	133.374476
COV5Cqm_results	43.62792943865624	270	36.63143672001193	21.668762016258555	14.003553154388898	4.102249488608233	1.8473802488452742	0					
COV7C_sort_qm									3.0438	0.33999999999999997	95.1822201500854	63.736436999999995	66.96254499999999
COV7Cqm_results	42.56961462984915	276	19.389534359544307	11.402151194642471	7.543959427581003	2.363174073708146	1.074433394365899	0					
COV8C_sort_qm									5.6789	0.33999999999999997	89.13752463018255	118.90524699999999	133.395276
COV8Cqm_results	43.74986490773852	274	35.42421300933794	20.39183203645079	13.181316821557886	4.162499505540397	1.973621579834834	0					
COV9C_sort_qm									5.4578	0.38999999999999996	87.9168147692979	114.36600999999999	130.084342
COV9Cqm_results	44.25376429729126	272	32.7743431176149	18.0679202446372	11.439962216950688	3.869548482827918	2.0025655792978037	0					
