"Row.names";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"regulation_COVID";"Family";"Class";"Category";"Chrom";"Start";"End";"Strand";"TE_CODING";"IntersectedGene";"IntersectedGeneType";"IntersectedOrientation";"IntersectedGeneID";"TE_type";"TE_5UTR_Intersect";"TE_3UTR_Intersect";"ClosestUpstream_gn";"ClosestUpstream_id";"DistUpstream";"ClosestDownstream_gn";"ClosestDownstream_id";"DistDownstream";"FANTOM_enhancer";"FANTOM_CAGE";"locus";"Family_group"
"ERV316A3_10q24.2";27,8976226719098;-2,06785317620168;0,590210614364257;-3,50358520479855;0,00045903977546322;0,00317695651684567;"down";"ERV316A3";"HERV";"oneside";"chr10";98770367;98772672;"+";"noncoding";"HPSE2";"protein_coding";"ANTISENSE";"ENSG00000172987";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERV316A3_10q24.2";"ERV3"
"ERV316A3_10q25.1k";18,1949162997608;-1,68715771684917;0,452727164024141;-3,72665448623094;0,000194038160658395;0,00160111991687934;"down";"ERV316A3";"HERV";"oneside";"chr10";108639130;108641909;"+";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"AL353740.1";"ENSG00000203434";77315;"LINC02661";"ENSG00000223381";66630;"None";"None";"ERV316A3_10q25.1k";"ERV3"
"ERV316A3_10q25.3b";13,4720734095244;1,60546742411381;0,500812261176845;3,2057270729378;0,00134721703644157;0,00739118354998767;"up";"ERV316A3";"HERV";"oneside";"chr10";115249999;115253510;"-";"noncoding";"ATRNL1";"protein_coding";"ANTISENSE";"ENSG00000107518";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERV316A3_10q25.3b";"ERV3"
"ERV316A3_12q13.13";178,669614545182;2,01820318420809;0,566348816795866;3,56353385820797;0,000365895474884396;0,00264776272717617;"up";"ERV316A3";"HERV";"internal";"chr12";52131842;52135265;"+";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"OR7E47P";"ENSG00000257542";23581;"LINC00592";"ENSG00000258279";28850;"None";"None";"ERV316A3_12q13.13";"ERV3"
"ERV316A3_13q31.3f";56,8529956906675;-2,78735068943917;0,535378614201581;-5,20631682981209;1,92625649969908e-07;6,62574520345931e-06;"down";"ERV316A3";"HERV";"oneside";"chr13";91366365;91367539;"-";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"GPC5";"ENSG00000179399";31082;"MIR17HG";"ENSG00000215417";11786;"None";"None";"ERV316A3_13q31.3f";"ERV3"
"ERV316A3_15q14b";62,040291275542;2,577085434648;0,666906579620173;3,86423753101333;0,000111436742146679;0,00103691493401732;"up";"ERV316A3";"HERV";"prototype";"chr15";37149557;37155905;"+";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"AC078909.2";"ENSG00000274444";39573;"AC087283.2";"ENSG00000274216";60712;"None";"None";"ERV316A3_15q14b";"ERV3"
"ERV316A3_17q21.31";178,281072146312;1,77548947188824;0,302726938795364;5,86498670700868;4,49168680902781e-09;3,0041160110899e-07;"up";"ERV316A3";"HERV";"internal";"chr17";45881546;45888812;"-";"noncoding";"MAPT-AS1";"lncRNA";"SENSE";"ENSG00000264589";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERV316A3_17q21.31";"ERV3"
"ERV316A3_18q12.1f";20,0311835713672;-1,92409049137727;0,458594411583326;-4,19562568312646;2,72119338098707e-05;0,000345185635510846;"down";"ERV316A3";"HERV";"internal";"chr18";32504207;32505146;"-";"noncoding";"AC025887.2";"lncRNA";"ANTISENSE";"ENSG00000285095";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERV316A3_18q12.1f";"ERV3"
"ERV316A3_1q21.3d";155,246194981538;1,5403769435698;0,256451159176081;6,00651191641589;1,89557050128496e-09;1,52709820033343e-07;"up";"ERV316A3";"HERV";"oneside";"chr1";153470032;153474206;"-";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"RN7SL44P";"ENSG00000263841";26257;"S100A7";"ENSG00000143556";9381;"None";"None";"ERV316A3_1q21.3d";"ERV3"
"ERV316A3_1q42.13b";36,3245343158627;-1,82150316364157;0,406987273402469;-4,47557769660352;7,62049793826231e-06;0,000123230045385237;"down";"ERV316A3";"HERV";"prototype";"chr1";227357275;227360947;"-";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"LINC01641";"ENSG00000234277";32607;"CDC42BPA";"ENSG00000143776";38801;"None";"None";"ERV316A3_1q42.13b";"ERV3"
"ERV316A3_1q43c";49,2490848473946;-1,81796487356489;0,522989063498209;-3,47610495218533;0,000508753147975091;0,00344063984609959;"down";"ERV316A3";"HERV";"prototype";"chr1";239269924;239275810;"-";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"CHRM3";"ENSG00000133019";110755;"AC093426.1";"ENSG00000259776";19106;"None";"None";"ERV316A3_1q43c";"ERV3"
"ERV316A3_1q44b";86,0574185873805;3,67831940802529;0,552636395284517;6,65594853942176;2,81478735098086e-11;4,53000303938327e-09;"up";"ERV316A3";"HERV";"oneside";"chr1";244644512;244646518;"+";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"CATSPERE";"ENSG00000179397";3335;"DESI2";"ENSG00000121644";6585;"None";"None";"ERV316A3_1q44b";"ERV3"
"ERV316A3_1q44c";47,3113145071252;2,71776525625461;0,498870714987366;5,44783482895652;5,09866720047125e-08;2,20878111175132e-06;"up";"ERV316A3";"HERV";"internal";"chr1";245062647;245063542;"-";"noncoding";"EFCAB2";"protein_coding";"ANTISENSE";"ENSG00000203666";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERV316A3_1q44c";"ERV3"
"ERV316A3_21q22.11b";122,636726657062;1,80749764052044;0,378013589373776;4,78156788890784;1,7393324272991e-06;3,83991082026802e-05;"up";"ERV316A3";"HERV";"prototype";"chr21";33288905;33293464;"-";"noncoding";"AP000295.1,IL10RB";"protein_coding,protein_coding";"ANTISENSE,ANTISENSE";"ENSG00000249624,ENSG00000243646";"INTRONIC";NA;NA;NA;NA;NA;NA;NA;NA;"None";"None";"ERV316A3_21q22.11b";"ERV3"
"ERV316A3_21q22.3b";12,9628781094737;1,55446699655126;0,542892632026871;2,86330464782274;0,00419247249622008;0,0180007795256125;"up";"ERV316A3";"HERV";"oneside";"chr21";42598743;42600906;"-";"noncoding";"LINC01671";"lncRNA";"SENSE";"ENSG00000225431";"EXONIC";FALSE;FALSE;NA;NA;NA;NA;NA;NA;"None";"None";"ERV316A3_21q22.3b";"ERV3"
"ERV316A3_2q11.2";456,977828027498;-1,51995506986481;0,458755726389064;-3,31321220081243;0,000922309742561372;0,00548251953118682;"down";"ERV316A3";"HERV";"oneside";"chr2";100265606;100271342;"-";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"LONRF2";"ENSG00000170500";533;"LINC01104";"ENSG00000232084";14122;"chr2:100268907-100269079";"None";"ERV316A3_2q11.2";"ERV3"
"ERV316A3_2q31.3a";186,221499196002;-2,88034080418276;0,433543647434873;-6,64371585473513;3,0587198264174e-11;4,76123438742668e-09;"down";"ERV316A3";"HERV";"oneside";"chr2";180009041;180011335;"-";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"AC012669.1";"ENSG00000270289";461802;"CWC22";"ENSG00000163510";1744;"None";"None";"ERV316A3_2q31.3a";"ERV3"
"ERV316A3_2q31.3b";168,812953748662;-2,8793603855765;0,362652951485641;-7,93971308872832;2,02649461808298e-15;1,86113265724741e-12;"down";"ERV316A3";"HERV";"oneside";"chr2";180011383;180014127;"-";"noncoding";"None";NA;NA;"None";"INTERGENIC";NA;NA;"AC012669.1";"ENSG00000270289";459010;"CWC22";"ENSG00000163510";4086;"None";"None";"ERV316A3_2q31.3b";"ERV3"
